all	все
undefined	неопределённый
comments	комментарии
positive	положительные
negative	отрицательные
notes	комментарии
note	комментарии
ref	ID
id	ID

abaza	абазинский
acrhi	арчинский
adyghe	адыгейский
albanian	албанский
armenian	армянский
armenian_translit	армянский (транслит.)
bangime	бангери
bashkir	башкирский
belarusian	белорусский
beserman	бесермянский
bulgarian	болгарский
buryat	бурятский
chinese	китайский
chuvash	чувашский
chuvash_cyr	чувашский (кириллица)
dargwa	даргинский
dogon	догон
english	английский
english_note	английский (комментарии)
erzya	эрзянский
estonian	эстонский
finnish	финский
french	французский
german	немецкий
ginyanga	гиньянга
gizey	гизей
greek	греческий
guro	гуро
hill_mari	горномарийский
hungarian	венгерский
italian	итальянский
joola	бандиал
kafire	кафире
kalmyk	калмыцкий
kamas	камасинский
kazakh	казахский
komi	коми
komi-zyrian	коми-зырянский
komi_permyak	коми-пермяцкий
komi_zyrian	коми-зырянский
latvian	латышский
limba	лимба
lithuanian	литовский
meadow_mari	луговой марийский
macedonian	македонский
macedonian_cyr	македонский (кириллица)
moksha	мокшанский
mundabli	мундабли
mwan	муан
nganasan	нганасанский
ossetic	осетинский
ossetic_digor	дигорский
ossetic_iron	иронский
polish	польский
romani	цыганский
russian	русский
san	сан
selkup	селькупский
senufo	сенуфо
spanish	испанский
swedish	шведский
tatar	татарский
tsakhur	цахурский
tsakonian	цаконский
udihe	улэгейский
udmurt	удмуртский
ukrainian	украинский
ut-main	ут-маин
wan	уан
yakut	якутский
yiddish	идиш
